Juliano Dorigão,menusigned-off-by: juliano dorigão,juliano dorigão <jdorigao@gmail.com>,dorigão <jdorigao@gmail.com>
5john,2020/01/01 00:41:23,00:41:23,""
Taylor Kraft,automatically backed up,backed up by,up by learn
zsxs2,update data.json,data.json,""
wideyu,iss.sh 01010841,01010841,""
nukooo,use integer arithmetic,integer arithmetic for,arithmetic for timestampsfixes
dependabot[bot],bump loofah from,loofah from 2.2.3,from 2.2.3 to
Site Autobuilder,autogenerated site via,site via github,via github actions.
n8wb,add copyright notices,copyright notices,notices
Alex Braun,blob_etl bug fixes,bug fixes,fixes
Cory Lynch,enable source map,source map for,map for webpack
Franck Nijhof,migrate input_* tests,input_* tests from,tests from coroutine
Jono,add weebot to,weebot to portfolio,to portfolio and
Patrik J. Braun,update readme.md,readme.md,""
BenAlaa,fix hoc protected,hoc protected routes,protected routes
jrdegreeff,better object orientation,object orientation (properties),orientation (properties)
mapcat,update ar.ar011sta.wpt,ar.ar011sta.wpt,""
Tian Pan,update iip-7.md,iip-7.md,""
Oscar Esteban,apply suggestions from,suggestions from code,from code reviewco-authored-by:
Benjamin James,json api takes,api takes multiple,takes multiple requests
Pooya Davoodi,link to relevant,to relevant ops,relevant ops for
Asif Ali Rizvan,removed useless files,useless files,files
bors,updating crate `protobuf-codegen#2.10.0`,crate `protobuf-codegen#2.10.0`,`protobuf-codegen#2.10.0`
Taylor Kraft,automatically backed up,backed up by,up by learn
Yousef Akbar,added mic mute,mic mute functionality;,mute functionality; -
David Cohen,merge pull request,pull request #20,request #20 from
Steve Holmes,"hide block display,","block display, adjust","display, adjust other"
Rika,maintainers: add rika,add rika,rika
blensink192,update posts “top-10-albums-of-2010”,posts “top-10-albums-of-2010”,“top-10-albums-of-2010”
Brokalys bot,monthly price per,price per sqm,per sqm data
MichaelRomero,fixed authactions with,authactions with linter,with linter and
Allison Chou,"implemented fix, to-do:","fix, to-do: fix",to-do: fix tests
asdfghy6,'',"",""
Kyle E. Mitchell,"","",""
Michael Voříšek,fix birth date,birth date for,date for travis
olesgedz,rainbow triangle,triangle,""
wessilfie,rebuild pages,pages,""
Christian Tietz,games-engines/devilutionx: cmake-utils ->,cmake-utils -> cmake,-> cmake eclasspackage-manager:
Danilo Margarido,move that to,that to the,to the next
sourceconnect-tests,e2e test 2020-01-01t00:40:54.805480,test 2020-01-01t00:40:54.805480,2020-01-01t00:40:54.805480
=,asd,"",""
lonefintech,python update,update,""
chosim-dev,bossdb,"",""
MatthewTheGlutton,smg/lib: add new,add new features,new features in
Augusto Martinez,update readme.md,readme.md,""
asdfghy6,'',"",""
jhonnySAN,agregando jwt para,jwt para el,para el login
Eduardo Aureliano,...,"",""
Pugabyte,add matchtasks,matchtasks,""
WayneMRP,dodanie do listy.|,do listy.| 2019-11-30,listy.| 2019-11-30 |
Yang Zhang,remove generated files.,generated files.,files.
Townsend Porcher,add files,files,""
Keyi Zhang,test windows build,windows build [skip,build [skip travis]
Mike Ludkovski,converted plt.2d.surf to,plt.2d.surf to ggplot,to ggplot raster
jv80,delete aboutme.js,aboutme.js,""
klawir,gui revision 1to,revision 1to main,1to main scene
RachidRezzik,delete untitled.ipynb,untitled.ipynb,""
Joel Chen,0.2.40,"",""
Robin Unger,create post model,post model,model
Duy Thanh,update code,code,""
2ndClemens,a key,key,""
Omer Faruk Gul,remove cname,cname,""
Peter Mitrano,buttons workweird ui,workweird ui include,ui include setup
heng.zhang,:green_heart: 调整生成配置,调整生成配置,""
ANGELLOPARR,life cycle hooks,cycle hooks,hooks
Danilo Margarido,condense the runs,the runs into,runs into a
h5p9sl,finish snowflakes,snowflakes,""
aqi-moscun,update file at:,file at: 2020-01-01,at: 2020-01-01 00:41:42
parkerziegler,update example readmes.,example readmes.,readmes.
Charles Iliya Krempeaux,story telling,telling,""
wigforss,[maven-release-plugin] prepare release,prepare release java-8-base-0.174,release java-8-base-0.174
phiDel Bak,버전업 3.9.1.2 (poe,3.9.1.2 (poe 3.9.1b),(poe 3.9.1b)
JooChan,added todo and,todo and added,and added projects
ㄗㄠˋ ㄑㄧˊ,deploy 2020-01-01t00:41:29+0000,2020-01-01t00:41:29+0000,""
David Wilemski,new-style format string,format string for,string for feed
WayneMRP,dodanie do listy,do listy patrick_shaw|,listy patrick_shaw| 2019-12-31
JulVoe,update intrinsics.cpp,intrinsics.cpp,""
Renovate Bot,update storybook monorepo,storybook monorepo to,monorepo to v5.2.8
Chris Roat,remove extraneous file.,extraneous file.,file.
Guangde Wang,added leetcode 740:,leetcode 740: delete,740: delete and
gerbs66,update getagenda.php,getagenda.php,""
Quinton Pryce,create readme.md,readme.md,""
hwong0305,added login link,login link to,link to register
jv80,delete contactme.js,contactme.js,""
wigforss,[maven-release-plugin] prepare for,prepare for next,for next development
deathbybandaid,update lists wed,lists wed jan,wed jan 1
hunterko,v56,"",""
87591,log,"",""
Augusto Martinez,update readme.md,readme.md,""
87591,log,"",""
jinghuijuan6,log,"",""
jinghuijuan4,log,"",""
Jas,progress on collada,on collada importer,collada importer
87591,log,"",""
ke0m,scripts for creation,for creation and,creation and qc
GitClock,update time,time,""
hwx438865,log,"",""
chosim-dev,bossdb,"",""
asdfghy6,'',"",""
Frederick DenBleyker,automatically backed up,backed up by,up by learn
A-ee,improve the interpreter,the interpreter,interpreter
Vanessa Sochat,updating membership count,membership count data,count data to
mawork1,this is most,is most u,most u that
jinghuijuan6,log,"",""
aaiden Nicolas Witten,automatically backed up,backed up by,up by learn
mopp,update,"",""
RhXKGxbwQHmTREDU,62565685,"",""
87591,log,"",""
hou1234,log,"",""
Ian White,sticky section headers,section headers,headers
nodemcu-custom-build,prepare my build.config,my build.config for,build.config for custom
yossy222vrc,update images at,images at 2020-01-01,at 2020-01-01 09:41:41.
Michael Reilly,update development_projects.py,development_projects.py,""
jinghuijuan,log,"",""
jinghuijuan10,log,"",""
jinghuijuan8,log,"",""
hou1234,log,"",""
jinghuijuan5,log,"",""
jinghuijuan6,log,"",""
Fatemeh Kiaie,add files via,files via upload,via upload
Hugo Barrueta,version final,final,""
Adam Arling,update shows,shows,""
474151949,log,"",""
asdfghy6,'',"",""
houbinbin87591,log,"",""
houbinbin87591,log,"",""
jinghuijuan7,log,"",""
Qiong Zhou Huang,wow everything works,everything works im,works im so
DawidJozwiak,update kalkulatorrapplication.java,kalkulatorrapplication.java,""
houbinbin87591,log,"",""
jinghuijuan4,log,"",""
hwx438865,log,"",""
tronjsdev,update project: remove,project: remove rebass,remove rebass
yangcaicai,log,"",""
houbinbin87591,log,"",""
jinghuijuan4,log,"",""
jv80,delete education.js,education.js,""
raptor_MVK,add 9 tasks,9 tasks,tasks
SockPuppetry,travis ci build,ci build 187065,build 187065
xiali,init,"",""
Rommel Haynes,automatically backed up,backed up by,up by learn
Rabia Alhaffar,fixed errors in,errors in markdown,in markdown code
Renovate Bot,update storybook monorepo,storybook monorepo to,monorepo to v5.2.8
ceorron,more optimization,optimization,""
Danilo Margarido,forgot the semicolons,the semicolons,semicolons
Eric Liu,chore(storybook): set 9090,set 9090 as,9090 as default
Travis-CI,deployed to github,to github pages,github pages
toppk,-clean up sqlite,up sqlite schema-add,sqlite schema-add register
Cody Yu,update include/tvm/relay/attrs/annotation.hco-authored-by: 雾雨魔理沙,include/tvm/relay/attrs/annotation.hco-authored-by: 雾雨魔理沙 <lolisa@marisa.moe>,雾雨魔理沙 <lolisa@marisa.moe>
emrahizci,frontend homepage url,homepage url,url
Eric Crooks,[staging] change directories,change directories,directories
Menahem Ashurov,update readme.md,readme.md,""
Zayyed Mansoor,update readme.md,readme.md,""
Colson Scott,change margin on,margin on #jm-logo,on #jm-logo
Jesse Millar,conferting ints to,ints to strings,to strings properlysigned-off-by:
JonoCode9374,update run.py,run.py,""
bors,updating crate `protoc-rust#2.10.0`,crate `protoc-rust#2.10.0`,`protoc-rust#2.10.0`
Simon H Moore,save syncthing output,syncthing output to,output to log.
Ying Huang,n,"",""
emanwern,start vereinheitlicht und,vereinheitlicht und vereinfacht,und vereinfacht
zachgoll,add template,template,""
James Harrison,add results for,results for commit,for commit d5fc15846ba477d0d90ec033dce5b8d4328634a1
Peter Eisentraut,modernize python exception,python exception syntax,exception syntax in
Pierre Hunault,improve performance when,performance when exporting,when exporting strategic
Michael Dickens,cppunit: update to,update to 1.15.1remove,to 1.15.1remove integrated
Metype,add files via,files via upload,via upload
moezelahi,lab 3,3,""
Enmotus-Dave-Cohen,.,"",""
sjmiller7,update readme.md,readme.md,""
Luke,readme,"",""
Andrey Castro,[:pushpin:] pinning odoo,pinning odoo docker,odoo docker image
Danilo Margarido,don't install recommended,install recommended packages,recommended packages alongside
Raj Kadam,blockmodo housekeeping! coin,housekeeping! coin count,coin count update!
blensink192,upload “/assets/uploads/arielview.png”,“/assets/uploads/arielview.png”,""
Felipe D. Santos,imagens,"",""
jekyllvn,update footer.html,footer.html,""
sunbysea,update,"",""
Dongbo Wang,add more tests,more tests,tests
hydra3333,add files via,files via upload,via upload
Leonard Shen,updated colors and,colors and chart,and chart height
Michael Dickens,cppunit: update to,update to 1.15.1remove,to 1.15.1remove integrated
MitchellMarkGeorge,finnaly figured out,figured out ui,out ui strategy
Kathy Warne,escape file extension,file extension dot,extension dot
qbert,update style.scss,style.scss,""
AC De Leon,[*] readme-format.md 🌱,readme-format.md 🌱,🌱
Timur Mishiev,automatically backed up,backed up by,up by learn
snowmint,hw6-4 half,half,""
vantage,added generated web,generated web files,web files
BAKAOLC,update,"",""
Dak Smyth,fix oppm thingy,oppm thingy,thingy
czhang2718,add files via,files via upload,via upload
sesheta,routine docs update,docs update,update
Travis,[autosave] testing for,testing for ultimate,for ultimate hosts
despottt,put code that,code that worked,that worked where
LavamasterYT,delete work.html,work.html,""
Chelle Gentemann,updated to include,to include aviso,include aviso instead
WillHoll,small change to,change to sweet,to sweet alert
blensink192,upload “/assets/uploads/clairo.png”,“/assets/uploads/clairo.png”,""
will,upload by picgo,by picgo,picgo
trimstray,minor fix (external,fix (external resources)-,(external resources)- signed-off-by:
Steven A. Silva,links updated,updated,""
Justin Mooney,fix eslint react,eslint react version,react version not
li-xie,modified to allow,to allow number,allow number of
LavamasterYT,delete work.html,work.html,""
Darren Smith,updated package version,package version to,version to 0.1.1
yuki-snow1823,update readme.md,readme.md,""
Ezequiel Alécio Ribeiro,delete pingcool.keystore,pingcool.keystore,""
Bot,update,"",""
DonneyF,update readme.md,readme.md,""
BBiBoot,bossdb,"",""
arkadyt,expose correct port,correct port,port
Daniel Hampikian,template built,built,""
Marco Acierno,hotels,"",""
vijay,update readme.md,readme.md,""
James Harrison,generated from sources,from sources,sources
Danilo Margarido,`set -e` to,-e` to improve,to improve robustness
ericmassara,template1,"",""
dre,tests,"",""
donaldsouza,message_2020-01-01t00:42:14,"",""
Dominik Wilkowski,"updated dependencies, fixed","dependencies, fixed nuke",fixed nuke scriptsigned-off-by:
giri,new job result,job result update,result update
johnson chidubem,added 2019 to,2019 to 2020,to 2020
Mike Aleksiuk,get to test,to test 17,test 17 by
sjmiller7,update index.html,index.html,""
A-312,add documentation about,documentation about custom,about custom getter
Docker Library Bot,run update.sh (arm32v5,update.sh (arm32v5 --,(arm32v5 -- https://hub.docker.com/u/arm32v5/)
Esat,exam.php php construction,php construction,construction
Davis Junior,++added deleting accounts,deleting accounts,accounts
ohman-23,footer positioning update,positioning update,update
Quentin McGaw (desktop),getcontent uses setter,uses setter pattern,setter pattern
onedrawingperday,update themes,themes,""
Matt Cavallo,update net_framework_check.psm1,net_framework_check.psm1,""
blensink192,upload “/assets/uploads/crj.png”,“/assets/uploads/crj.png”,""
John Leider,chore(readme): update information,update information for,information for root
meghapsimatrix,update vignette,vignette,""
堀江仁貴,update netlify.toml,netlify.toml,""
Maximb,resp,"",""
rmcaves,modified travis.yml,travis.yml,""
Christopher Sannar,another update. still,update. still working,still working on
zqf,tagging cells that,cells that are,that are the
Danilo Margarido,it's a trap!,a trap!,trap!
madzikdek,tower minigame,minigame,""
wafuwafu13,カラムを複数削除,"",""
blensink192,upload “/assets/uploads/gibbsmadlib.png”,“/assets/uploads/gibbsmadlib.png”,""
Michel Heily,[wip] optimize gba::frameprofiling,optimize gba::frameprofiling gba::frame,gba::frameprofiling gba::frame shows
sunete,some changes,changes,""
Josh Bielick,use correct gemfile,correct gemfile when,gemfile when running
Arne Roomann-Kurrik,remove grunt from,grunt from build,from build process
Logan Perry-Din,create readme,readme,""
george,add jgd to,jgd to deploy,to deploy
Kailana Kahawaii,automatically backed up,backed up by,up by learn
bors,updating crate `protobuf-codegen-pure#2.10.0`,crate `protobuf-codegen-pure#2.10.0`,`protobuf-codegen-pure#2.10.0`
Rommel Haynes,automatically backed up,backed up by,up by learn
Peter Davison-Reiber,highlight test,test,""
Murata Gulube,take 3 back,3 back to,back to take
root,ac,"",""
5john,2020/01/01 00:42:26,00:42:26,""
chosim-dev,bossdb,"",""
12138xs,delete sort,sort,""
Ned Twigg,update changelog.,changelog.,""
ensorcell,update index.md,index.md,""
blensink192,upload “/assets/uploads/jamesblake.png”,“/assets/uploads/jamesblake.png”,""
guangcheng139,订单处理与测试,"",""
Eqrly,create procfile,procfile,""
Martin Siggel,build tixi for,tixi for python,for python 3.7
Namo.Lu,leetcode#280 update,update,""
Garrett Cullen,push,"",""
Deployment Bot (from Travis CI),deploy tyler-duckworth/tyler-duckworth.github.io to,tyler-duckworth/tyler-duckworth.github.io to github.com/tyler-duckworth/tyler-duckworth.github.io.git:master,to github.com/tyler-duckworth/tyler-duckworth.github.io.git:master
Tanner,last commit before,commit before handling,before handling scanner
prembg,updates,"",""
chosim-dev,bossdb,"",""
Su lianggang,init 初始化,初始化,""
John Caron,protected name,name,""
luckydan61,delete helloworld.class,helloworld.class,""
Travis CI,travis build 979,build 979,979
Spencer Wood,allow one to,one to increase,to increase the
mxnet-ci,publish triggered by,triggered by ci,by ci
hassen,refresh button,button,""
Frotty,update chunkedstring.wurst,chunkedstring.wurst,""
mxnet-ci,bump the publish,the publish timestamp.,publish timestamp.
sourceconnect-tests,e2e test 2020-01-01t00:42:17.965554,test 2020-01-01t00:42:17.965554,2020-01-01t00:42:17.965554
Brandon Lee,up,"",""
Damian Morgan,updated the rest,the rest of,rest of the
Yang Zhang,use .bin as,.bin as binary,as binary extension.
Ross Borchers,update readme.md,readme.md,""
GitYatto,add chat ui,chat ui,ui
KWhiting,dynamically add and,add and remove,and remove folder
AsteroidTracker,asteroidtracker update news,update news,news
Max Kuhn,move back to,back to using,to using proc::roc
Danilo Margarido,"whoops, explicitly use",explicitly use bash,use bash
wessilfie,rebuild pages,pages,""
mapcat,update ar.ar011b.wpt,ar.ar011b.wpt,""
Deployment Bot (from Travis CI),deploy nihdatasciencesig/nihdatasciencesig.github.io to,nihdatasciencesig/nihdatasciencesig.github.io to github.com/nihdatasciencesig/nihdatasciencesig.github.io.git:master,to github.com/nihdatasciencesig/nihdatasciencesig.github.io.git:master
Christian Urich,make loading of,loading of modules,of modules work
atiframlee,update db.json,db.json,""
SRK HOST,update entrypoint.sh,entrypoint.sh,""
OgarPlus,add files via,files via upload,via upload
87591,log,"",""
87591,log,"",""
Chukwuemeka O Ike,info for parking,for parking algo,parking algo
jinghuijuan8,log,"",""
jinghuijuan9,log,"",""
Rajab Natshah,fix get file,get file from,file from url
samir2088,update config.json,config.json,""
Niclas Olofsson,return alternative root,"alternative root tag,","root tag, not"
jinghuijuan8,log,"",""
jinghuijuan11,log,"",""
houbinbin87591,log,"",""
jinghuijuan6,log,"",""
unklebonehead,updates and post,and post ep21,post ep21
jinghuijuan4,log,"",""
Weave Flux,auto-release 164382793440.dkr.ecr.us-west-2.amazonaws.com/eks-primer:b5d9da18,164382793440.dkr.ecr.us-west-2.amazonaws.com/eks-primer:b5d9da18,""
jinghuijuan11,log,"",""
Jennifer Huang,[blog] refine format,refine format issues,format issues for
jinghuijuan11,log,"",""
Rommel Haynes,automatically backed up,backed up by,up by learn
chosim-dev,bossdb,"",""
minebosstime,bossdb,"",""
github username,made intervals,intervals,""
Adam,update readme.md,readme.md,""
Bangqi Xu,conservative macro pa;,macro pa; initial,pa; initial fix
Samuel Austen,nav icons,icons,""
Michael Wiinberg Olesen,nuget upgrades -,upgrades - rop,- rop
chosim-dev,bossdb,"",""
Zoom.Quiet,upgrade(planet) auto by,auto by crontab,by crontab from
Zachary Spector,"add another test,","another test, for","test, for compound"
Dr. Steven Mielke,update _config.yml,_config.yml,""
Cameron Dart,p9 outline,outline,""
Kevin Nowaczyk,field is an,is an array,an array key
devonzuegel,cleanup,"",""
Bjoern Kerler,port to gnuradio,to gnuradio 3.8,gnuradio 3.8 and
seatacken,working on new,on new counter,new counter functionality
taylor,more changes to,changes to enable,to enable proper
Brian Gonzales,january home krs,home krs essentials,krs essentials
qcu87z,grr,"",""
Pierre Lannoy,initializes dev version.,dev version.,version.
Guangde Wang,leetcode198 is equivalent,is equivalent to,equivalent to leetcode
Franck Nijhof,migrate input_* tests,input_* tests from,tests from coroutine
Ricardo Macedo,adicionando in-memory-database de,in-memory-database de categorias,de categorias
Edwin Lee,major change to,change to memory,"to memory management,"
xam4lor,started adding authors,adding authors,authors
Alex,refactored,"",""
SockPuppetry,travis ci build,ci build 187081,build 187081
Bitnami Bot,9.6.16-debian-9-r39 release,release,""
Abe Winter,fraud draft,draft,""
github username,modify date output,date output format,output format for
Darien,add files via,files via uploadfirst,via uploadfirst official
GitClock,update time,time,""
Melanie McGlynn,automatically backed up,backed up by,up by learn
Eqrly,add files via,files via upload,via upload
jenkins-x-bot,publishing files for,files for path,for path jenkins-x/logs/cb-kubecd/environment-pr-120-102-gke-upgrade-dev/pr-2/1.log
olos00,commit adds solutions,adds solutions to,solutions to fizzbuzz
aqi-moscun,update file at:,file at: 2020-01-01,at: 2020-01-01 00:42:50
Albert,update to use,to use send_json1.,use send_json1. add
crispycat,upload 0.6.0new decade!,0.6.0new decade!,decade!
acat122,update readme.mdand mention,readme.mdand mention moon,mention moon tacos
Rafael Moreno,salto de linea,de linea,linea
Brokalys bot,"monthly data (house,","data (house, sell,","(house, sell, latvia):"
Benjamin Staneck,fix for jumping,for jumping header,jumping header
hao,finish image conv,image conv,conv
Marc Fors,controller for a,for a web,a web service
wigforss,[maven-release-plugin] prepare release,prepare release java-8-base-0.175,release java-8-base-0.175
Andrew Capp,automatically backed up,backed up by,up by learn
nnntest,後で投稿されたものが先に表示されるように修正,"",""
Tim Kim,more polished,polished,""
bearjung,bossdb,"",""
Mark Martynov,cleanup,"",""
Conor R,mqtt,"",""
Jeff Lee,day16b: finish,finish,""
Inna Nikolenko,added new relic,new relic and,relic and setting
tinymark,update blog,blog,""
Banks T,ci setup (#2)*,setup (#2)* create,"(#2)* create gradle.yml*"
Emo2560,update rpc.py,rpc.py,""
Diego Rico,added custom styling,custom styling,styling
TAC,site updated at,updated at 2020-01-01,at 2020-01-01 00:44:17
Brandon Lee,up,"",""
synzen,update readme.md,readme.md,""
shuoyan,update,"",""
RhXKGxbwQHmTREDU,39424424,"",""
Renovate Bot,chore(deps): update dependency,update dependency conventional-changelog-cli,dependency conventional-changelog-cli to
jason chen,jp voc,voc,""
wigforss,[maven-release-plugin] prepare for,prepare for next,for next development
Sascha Wander,added kitenet-mr git,kitenet-mr git ebuild,git ebuild
Victor Costa,login page layout,page layout,layout
bitbaybot,update,"",""
AdrianValenciaSantos,final updates for,updates for mobile,for mobile format.
vincenira,initial commit,commit,""
Rory Little,finished main page,main page layout,page layout
AndresFDaza,sencilla modificacion sonido,modificacion sonido en,sonido en el
sn2111,01/01/2020 01:36:43,01:36:43,""
Spencer Wood,variable time-to-wait for,time-to-wait for test,for test harness
Robert Scott,pythonpackages.unicorn: redesign to,redesign to become,to become a
oct21r,bossdb,"",""
mestizoLopez,adding new methods,new methods for,methods for http
Jeff Linahan,gave shrinktree delete,shrinktree delete verts,delete verts on
silan,make function for,function for grph,for grph in
zqf,created basic files,basic files for,files for grid
Sam,added tests fro,tests fro views,fro views
ehuan2,added classes that,classes that are,that are needed
kimsungjin,[issue-82] 10430번 나머지,10430번 나머지 -,나머지 - 10430번
Mike Goren,update gems,gems,""
Soljian / Sheaven,ajout fonctions slots,fonctions slots +,slots + integration
triener,latest commit,commit,""
wrkzdev,use project_version_long,project_version_long,""
Southern Outpost,add files via,files via upload,via upload
Joel,update test.json,test.json,""
CarlosCastillo10,comentando la linea,la linea 32,linea 32 de
Vianney,remove console logs,console logs,logs
fans,dom 完成,完成,""
Thomas Wright,automatically backed up,backed up by,up by learn
Collin Mitchell,finished section still,section still life,still life drawing
Jonathan Toledo Orobia,avences auth,auth,""
Stepan Koltsov,update changelog.md,changelog.md,""
Kyle Humphrey,update footer,footer,""
mustafasacli,first commit.,commit.,""
Danilo Margarido,upgrade to 19.04,to 19.04 since,19.04 since it
Sridhar Ratnakumar,advance rib,rib,""
MichaelZiHuang,adding some regulation,some regulation,regulation
ctf0,002,"",""
airnan,added extra properties,extra properties,properties
Rehan,lucid image removed,image removed,removed
flyshywen,图片改为相对路径,"",""
jenkins-x-bot,publishing files for,files for path,for path jenkins-x/logs/cb-kubecd/bdd-spring-1577838517/pr-1/1.log
Jimmy Emery,udpating package,package,""
Klinsman Maia,feat add fab,add fab action,fab action
skyblockz,automated database update,database update,update
Benjamin Cane,moving to afterfunc,to afterfunc which,afterfunc which should
Vlad Dorozhinskiy,classes initial,initial,""
Docker Library Bot,run update.sh (i386,update.sh (i386 --,(i386 -- https://hub.docker.com/u/i386/)
BrendanMcGaw,minor javascript changes,javascript changes,changes
donaldsouza,message_2020-01-01t00:43:14,"",""
mistermochi,upload from gas,from gas,gas
Benjamin Lehmann,create readme.md,readme.md,""
Lisa Torrey,bootbox,"",""
Americo Sierra,pruebas unitarias,unitarias,""
Treee,fixed position issue,position issue with,issue with emotes
Anantha Krishnan,create ananthatest.html,ananthatest.html,""
Vinh Le,added new authorization,new authorization scopes,authorization scopes
thefentoncreeper,add python file,python file,file
Tim Kim,pushed blue circle,blue circle z-index,circle z-index up
alcovap,create index.html,index.html,""
Danilo Margarido,[travis] comment unused,comment unused variables,unused variables and
Behnam Ebrahimi,run tests once,tests once and,once and finish
Renovate Bot,chore(deps): update dependency,update dependency mini-css-extract-plugin,dependency mini-css-extract-plugin
